confident,lead,flagship_line,alias_terms,code,score,runner_up,reasons,keys
true,conquistador,CONQUISTADOR WHITE,conquistador white,59691,20,CONQUISTADOR GOLD (10),sizes:2,conquistador|conquistador white|conquistador gold
true,constitution,CONSTITUTION STRAIGHT BOURBON,constitution straight bourbon,100457,10,,sizes:1,constitution
true,control,CONTROL ORIGINAL PISCO PREMIUM,control original pisco premium,18094,10,,sizes:1,control|control original
true,copa,COPA DE ORO COFFEE LIQ MEX,copa de oro coffee liq,5482,12,,sizes:2|flavors:1,copa|copa de
true,coperies,COPERIES SINGLE MALT,coperies single malt,32849,10,,sizes:1,coperies|coperies single
true,coral,CORAL COVE COCONUT RUM,coral cove coconut rum,32974,2,,sizes:1|flavors:1,coral|coral cove
true,corazon,CORAZON DE AGAVE BLANCO,corazon de agave blanco,888,40,CORAZON DE AGAVE REPOSADO (30),sizes:4,corazon|corazon expresiones|corazon anejo|corazon reposado|corazon de|corazon exp|corazon extra
true,coronet,CORONET V S Q,coronet,34277,20,,sizes:2,coronet
true,corralejo,CORRALEJO SILVER,corralejo silver,438,40,CORRALEJO REPOSADO (20),sizes:4,corralejo|corralejo reposado|corralejo 99|corralejo gran|corralejo silver|corralejo 1821|corralejo extra|corralejo anejo|corralejo reposad
true,courvoisier,COURVOISIER V S,courvoisier,37087,70,COURVOISIER V S O P (30),sizes:7,courvoisier|courvoisier xo
true,couvignac,COUVIGNAC VS,couvignac vs,34695,10,,sizes:1,couvignac|couvignac vs
true,covalle,COVALLE TOMATO WATER GIN,covalle tomato water gin,101477,10,,sizes:1,covalle|covalle tomato
true,covalli,COVALLI APERITIVO SPRITZ,covalli aperitivo spritz,35890,10,,sizes:1,covalli|covalli aperitivo
true,crafthouse,CRAFTHOUSE COCKTAILS ESP MARTN,crafthouse cocktails esp martn,33501,10,CRAFTHOUSE SPICY MARGARITA (2),sizes:1,crafthouse|crafthouse spicy|crafthouse cocktails|crafthouse pinapple|crafthouse pineapple
true,cragganmore,CRAGGANMORE SCOTCH,cragganmore scotch,96286,10,,sizes:1,cragganmore
true,craneo,CRANEO ORGANIC MEZCAL,craneo organic mezcal,34252,10,,sizes:1,craneo|craneo organic
true,crater,CRATER LAKE VODKA,crater lake vodka,31602,10,,sizes:1,crater|crater lake
true,creek,CREEK WATER WHISKEY,creek water whiskey,19043,20,CREEK WATER CINNAMON WHISKEY (12),sizes:2,creek|creek water
true,creme,CREME BRULEE WHISKEY,creme brulee whiskey,24911,-6,,sizes:1|flavors:2,creme|creme brulee
true,creyente,CREYENTE MEZCAL JOVEN,creyente mezcal joven,16436,10,,sizes:1,creyente|creyente mezcal
true,crimson,CRIMSON RESERVE VSOP BRANDY,crimson reserve vsop brandy,36168,12,CRIMSON RESERVE CANADIAN WHKY (2),sizes:2|flavors:1,crimson|crimson reserve|crimson rsrv
true,crnogorski,CRNOGORSKI PRVIJENAC,crnogorski prvijenac,10038,2,,sizes:1|flavors:1,crnogorski|crnogorski prvijenac
true,croft,CROFT BRANDY,croft brandy,31984,10,,sizes:1,croft
true,crooked,CROOKED TREE VODKA,crooked tree vodka,53829,10,,sizes:1,crooked|crooked tree
true,crop,CROP ORGANIC CUCUMBER,crop organic cucumber,30049,10,CROP ORGANIC BLUEBERRY VODKA (2),sizes:1,crop|crop organic
true,crossborder,CROSSBORDER JACKPOT 777 WSKY,crossborder jackpot 777 wsky,32314,10,,sizes:1,crossborder|crossborder jackpot
true,crow,CROW 86,crow 86,34069,20,,sizes:2,crow|crow 86
true,crown,CROWN ROYAL,crown royal,14887,70,CROWN ROYAL REGAL APPLE (62),sizes:7,crown|crown royal|crown russe|crown ryl
true,crystal,CRYSTAL PALACE GIN,crystal palace gin,28347,50,CRYSTAL HEAD VODKA (30),sizes:5,crystal|crystal head|crystal palace
true,cuda,CUDA CAY SPICED RUM,cuda cay spiced rum,35406,12,,sizes:2|flavors:1,cuda|cuda cay
true,cuervo,CUERVO TRADICIONAL BLANCO,cuervo tradicional blanco,32577,10,,sizes:1,cuervo|cuervo tradicional
true,curro,CURRO MEZCAL JOVEN,curro mezcal joven,30590,10,,sizes:1,curro|curro mezcal
true,cutty,CUTTY SARK,cutty sark,16507,40,CUTTY SARK CENTENARY EDITION (10),sizes:4,cutty|cutty sark
true,cynar,CYNAR,cynar,9072,10,,sizes:1,cynar
true,cyrano,CYRANO ROXANE BLANCHE ARMAGNAC,cyrano roxane blanche armagnac,32547,10,,sizes:1,cyrano|cyrano roxane
true,d,D USSE VSOP,usse vsop,9895,30,D USSE XO (10),sizes:3,
true,da,DA VINCI AMARETTO,da vinci amaretto,215,10,,sizes:1,
true,daddy,DADDY RACK TENN STR WHISKEY,daddy rack tenn str whiskey,32005,10,DADDY RACK TENN STR SNGL BRRL (2),sizes:1,daddy|daddy rack
